"From","To","from","to"
"TBK1","SMCR8",3003,2793
"TBK1","MAPT",3003,1660
"TBK1","MAP1LC3C",3003,1604
"TBK1","E2F1",3003,816
"TBK1","HTT",3003,1309
"TBK1","SIKE1",3003,2722
"TBK1","TRIM56",3003,3129
"TBK1","PRPS2",3003,2329
"TBK1","STX17",3003,2941
"TBK1","MTOR",3003,1765
"TBK1","RPTOR",3003,2598
"TBK1","XIAP",3003,3310
"TBK1","TICAM1",3003,3053
"TBK1","PBXIP1",3003,2049
"TBK1","METTL3",3003,1717
"TBK1","MAVS",3003,1676
"TBK1","PEBP1",3003,2096
"TBK1","STAT2",3003,2899
"TBK1","ESR1",3003,926
"PRKD3","PRKD1",2310,2308
"PRKD3","CTTN",2310,654
"PRKD3","MFF",2310,1719
"PRKCB","MAPT",2300,1660
"PRKCB","TRPV1",2300,3152
"PRKCB","PPARA",2300,2230
"PRKCB","ATF2",2300,196
"PRKCB","KIR3DL1",2300,1483
"PRKCB","GSK3B",2300,1164
"PRKCB","MYH9",2300,1786
"PRKCB","TRPV6",2300,3156
"PRKCB","MFN1",2300,1720
"PRKCB","EIF3A",2300,852
"PRKCB","SYT6",2300,2973
"PRKCB","MCU",2300,1695
"PRKCB","EIF4G1",2300,860
"PRKCB","TP73",2300,3102
"PRKCB","FUS",2300,1045
"PRKCB","GHRL",2300,1092
"PRKCB","KCNE1",2300,1431
"SYK","GCSAM",2963,1083
"SYK","PRDX2",2963,2281
"SYK","LAX1",2963,1528
"SYK","LAT2",2963,1525
"SYK","DEPTOR",2963,727
"SYK","CTTN",2963,654
"SYK","ARHGDIB",2963,165
"SYK","STAT5A",2963,2902
"SYK","DOCK2",2963,770
"SYK","RHBG",2963,2522
"SYK","STAT1",2963,2898
"SYK","STING1",2963,2909
"STK39","SLC12A5",2930,2746
"STK39","SLC12A4",2930,2745
"STK39","SLC12A7",2930,2748
"STK39","SLC12A6",2930,2747
"STK39","SNAI1",2930,2799
"HUNK","ITM2A",1310,1395
"IRAK1","PELI2",1366,2099
"CDKL5","TNRC18",503,3086
"CDKL5","MPLKIP",503,1749
"CDKL5","MAPRE2",503,1658
"CDKL5","PPP1R26",503,2260
"CDKL5","ELOA",503,874
"CDKL5","HNRNPF",503,1280
"CDKL5","ZC3H14",503,3345
"CDKL5","RPL13",503,2571
"CDKL5","CEP131",503,524
"CDKL5","PHF23",503,2123
"CDKL5","ZKSCAN8",503,3358
"CDKL5","YLPM1",503,3329
"CDKL5","VIRMA",503,3274
"CDKL5","CDKL5",503,503
"CDKL5","RBMX",503,2480
"CDKL5","ZNF592",503,3368
"CDKL5","MAP1S",503,1605
"CDKL5","MAP1A",503,1600
"CDKL5","DLG5",503,749
"CDKL5","SMTN",503,2797
"CDKL5","CLSPN",503,586
"CDKL5","TCOF1",503,3014
"CDKL5","EP400",503,887
"MAPK11","EP300",1640,886
"MAPK11","ATF2",1640,196
"MAPK11","SOD2",1640,2824
"MAPK11","SNX27",1640,2818
"MAPK11","HSF1",1640,1294
"MAPK11","EGFR",1640,838
"MAPK11","KAT5",1640,1416
"MAPK11","ATF7",1640,199
"MAPK11","SREBF1",1640,2865
"MAPK11","NR3C1",1640,1944
"RPS6KA6","RPS6KA6",2593,2593
"RPS6KA6","EP300",2593,886
"MAPK4","AKT1",1646,88
"PINK1","ZNF746",2155,3373
"PINK1","LETM1",2155,1537
"PINK1","MFN2",2155,1721
"PINK1","AJUBA",2155,79
"PINK1","RHOT1",2155,2527
"PINK1","BCL2L1",2155,262
"PINK1","EEF1A1",2155,830
"PINK1","NEDD8",2155,1851
"EPHA5","GLO1",897,1107
"RAF1","KLF10",2424,1491
"RAF1","EEF1A2",2424,831
"MYLK3","TNNI3",1793,3084
"CDK11B","AR",478,144
"MAPKAPK2","TAB3",1654,2976
"MAPKAPK2","POU5F1",1654,2228
"MAPKAPK2","GJA1",1654,1097
"MAPKAPK2","WNK4",1654,3300
"MAPKAPK2","RBM7",1654,2478
"MAPKAPK2","NELFE",1654,1869
"MAPKAPK2","CEP131",1654,524
"MAPKAPK2","TRIM29",1654,3126
"MAPKAPK2","HSPA1L",1654,1300
"MAPKAPK2","DAZL",1654,686
"MAPKAPK2","RIPK1",1654,2537
"MAPKAPK2","COPS5",1654,602
"MAPKAPK2","PDE4D",1654,2073
"MAPKAPK2","PFKFB3",1654,2107
"MAPKAPK2","BECN1",1654,272
"MARK3","MARK3",1665,1665
"CSNK1G2","BECN1",634,272
"CSNK1G2","LYN",634,1583
"CSNK1G2","IRS4",634,1378
"PRKCQ","HEXIM1",2306,1245
"PRKCQ","RDX",2306,2489
"PRKCQ","LLGL1",2306,1553
"PRKCQ","NKD2",2306,1899
"PRKCQ","EZR",2306,943
"PRKCQ","PTPN7",2306,2373
"PRKCQ","RASGRP1",2306,2454
"PRKCQ","NR2F6",2306,1943
"PRKCQ","H3C1",2306,1213
"PRKCQ","KRAS",2306,1506
"PRKCQ","PTPN6",2306,2372
"PRKCQ","PPP1R12A",2306,2246
"PRKCQ","ARHGEF6",2306,171
"PRKCQ","TBK1",2306,3003
"PRKACB","SRSF2",2293,2878
"CSNK1G1","RELA",633,2495
"CSNK1G1","LYN",633,1583
"LTK","PREB",1580,2284
"MINK1","NR3C1",1725,1944
"MINK1","LATS1",1725,1526
"CHEK1","SRC",552,2863
"CHEK1","CTR9",552,653
"CHEK1","LAMC1",552,1515
"CHEK1","DDX19A",552,711
"CHEK1","HNRNPA2B1",552,1277
"CHEK1","RPL19",552,2573
"CHEK1","YBX1",552,3324
"CHEK1","TICRR",552,3055
"CHEK1","BAZ1A",552,251
"CHEK1","TRIP12",552,3137
"CHEK1","CLK3",552,583
"CHEK1","EPRS1",552,909
"CHEK1","SETMAR",552,2682
"CHEK1","PRR5",552,2330
"CHEK1","E2F6",552,819
"CHEK1","GTF3C1",552,1173
"CHEK1","RBM26",552,2470
"CHEK1","YBX3",552,3326
"CHEK1","INF2",552,1353
"CHEK1","MKI67",552,1730
"CHEK1","TFDP1",552,3033
"CHEK1","RALY",552,2432
"CHEK1","TP53BP1",552,3098
"CHEK1","ZNF638",552,3371
"CHEK1","SCAF11",552,2638
"CHEK1","SRRM2",552,2874
"CHEK1","RELA",552,2495
"CHEK1","CHD7",552,551
"CHEK1","GOLGA4",552,1124
"CHEK1","ADD3",552,51
"CHEK1","KIFC1",552,1482
"CHEK1","SEPTIN7",552,2673
"CHEK1","MATR3",552,1675
"CHEK1","MCM5",552,1688
"CHEK1","SPEN",552,2845
"CHEK1","RIF1",552,2530
"CHEK1","CWC25",552,659
"CHEK1","RBM14",552,2468
"CHEK1","IDI1",552,1322
"CHEK1","CAAP1",552,328
"CHEK1","PRRC2C",552,2333
"CHEK1","PHF2",552,2121
"CHEK1","EXO1",552,937
"CHEK1","PLK1",552,2196
"CHEK1","HNRNPM",552,1285
"CHEK1","MED1",552,1702
"CHEK1","CCDC6",552,399
"CHEK1","YBX2",552,3325
"CHEK1","WIZ",552,3296
"CHEK1","ZC3HC1",552,3349
"CHEK1","HCK",552,1225
"CHEK1","ASF1A",552,188
"CHEK1","NUP153",552,1978
"CHEK1","SLTM",552,2777
"CHEK1","OGT",552,1992
"CHEK1","RBM28",552,2472
"CHEK1","MAPT",552,1660
"CHEK1","SSBP1",552,2883
"CHEK1","MDC1",552,1696
"CHEK1","KPNA2",552,1505
"CHEK1","MCM3",552,1686
"CHEK1","POP4",552,2225
"CHEK1","ADD2",552,50
"CHEK1","RAVER1",552,2458
"CHEK1","ADD1",552,49
"CHEK1","ANKRD12",552,112
"CHEK1","ZNF395",552,3366
"CHEK1","XRCC6",552,3321
"CHEK1","MAD2L1",552,1588
"CHEK1","STK4",552,2931
"CHEK1","MYCBP2",552,1779
"CHEK1","BUD13",552,318
"CHEK1","TBC1D4",552,2998
"CHEK1","MAP2K2",552,1608
"CHEK1","DDX24",552,713
"CHEK1","CTTN",552,654
"CHEK1","RBM42",552,2477
"CHEK1","FEN1",552,979
"CHEK1","EBNA1BP2",552,821
"CHEK1","RANBP2",552,2435
"CHEK1","MYBBP1A",552,1774
"CHEK1","SENP2",552,2666
"CHEK1","CAMSAP2",552,358
"CHEK1","CHTOP",552,562
"CHEK1","PRRC2B",552,2332
"CHEK1","LMNA",552,1555
"CHEK1","ZBTB11",552,3340
"CHEK1","PHF8",552,2125
"CHEK1","RACGAP1",552,2413
"CHEK1","DDX19B",552,712
"CHEK1","ARHGEF2",552,169
"CHEK1","PPME1",552,2243
"CHEK1","MAP4",552,1630
"CHEK1","ING1",552,1354
"CHEK1","PRPF3",552,2324
"CHEK1","HDLBP",552,1239
"CHEK1","PROSER2",552,2322
"CHEK1","CDK13",552,480
"CHEK1","NHS",552,1892
"CHEK1","RRP12",552,2607
"CHEK1","PPP2R5D",552,2275
"CHEK1","DRG2",552,784
"CHEK1","PLRG1",552,2201
"CHEK1","HIVEP1",552,1257
"CHEK1","NCBP3",552,1820
"CHEK1","FYTTD1",552,1051
"CHEK1","CDK1",552,475
"CHEK1","POLDIP3",552,2217
"CHEK1","RPL13",552,2571
"CHEK1","LIG1",552,1541
"CHEK1","CSNK2B",552,639
"CHEK1","KPNA1",552,1504
"CHEK1","MINK1",552,1725
"CHEK1","MAP2K1",552,1607
"CHEK1","OSBPL11",552,2004
"CHEK1","UIMC1",552,3223
"CHEK1","SIN3A",552,2724
"CHEK1","TNK1",552,3080
"CHEK1","EML3",552,878
"CHEK1","CEP170B",552,527
"CHEK1","LMO7",552,1558
"PRKACA","GLI1",2292,1103
"PRKACA","CUX1",2292,658
"PRKACA","CAMKK2",2292,355
"PRKACA","RB1",2292,2459
"PRKACA","HEXIM1",2292,1245
"PRKACA","KCNQ2",2292,1451
"PRKACA","DISC1",2292,741
"PRKACA","PPP1R9A",2292,2267
"PRKACA","E2F1",2292,816
"PRKACA","DACT1",2292,675
"PRKACA","MARK3",2292,1665
"PRKACA","SCN5A",2292,2644
"PRKACA","STK26",2292,2919
"PRKACA","FOXO1",2292,1032
"PRKACA","CAPN1",2292,361
"PRKACA","SRF",2292,2867
"PRKACA","DNM1L",2292,763
"PRKACA","TRPC5",2292,3144
"PRKACA","CHKB",2292,555
"PRKACA","ADRB2",2292,57
"PRKACA","CEACAM1",2292,511
"PRKACA","BRSK2",2292,308
"PRKACA","HIF1A",2292,1249
"PRKACA","PARP1",2292,2038
"PRKACA","TRPC6",2292,3145
"PRKACA","DDX25",2292,714
"PRKACA","RGS18",2292,2518
"PRKACA","OFD1",2292,1988
"PRKACA","KCNJ5",2292,1442
"PRKACA","ENSA",2292,885
"PRKACA","TRPA1",2292,3140
"PRKACA","RGS13",2292,2515
"PRKACA","GSTA4",2292,1167
"PRKACA","PPP1R1A",2292,2256
"PRKACA","TRIM71",2292,3132
"PRKACA","SIK3",2292,2721
"PRKACA","PKD2L1",2292,2169
"PRKACA","ORAI1",2292,1998
"PRKACA","KCNN4",2292,1449
"PRKACA","AKAP12",2292,81
"PRKACA","GCM1",2292,1082
"PRKACA","NCF1",2292,1821
"PRKACA","RAP1GAP2",2292,2442
"PRKACA","UHRF1",2292,3222
"PRKACA","SMN1",2292,2795
"PRKACA","KDM3A",2292,1457
"PRKACA","MEF2B",2292,1706
"PRKACA","PHF2",2292,2121
"PRKACA","HDAC4",2292,1233
"PRKACA","PFN1",2292,2111
"PRKACA","GPKOW",2292,1131
"PRKACA","ATG16L1",2292,203
"PRKACA","PJA2",2292,2166
"PRKACA","APOBEC3B",2292,133
"PRKACA","PSMC5",2292,2343
"PRKACA","RARA",2292,2447
"PRKACA","AQP2",2292,140
"PRKACA","SERPINF1",2292,2678
"PRKACA","CAMKK1",2292,354
"PRKACA","URI1",2292,3231
"PRKACA","PDE4C",2292,2072
"PRKACA","ATP5IF1",2292,218
"PRKACA","TRPV5",2292,3155
"PRKACA","NCOR1",2292,1832
"PRKACA","PDE11A",2292,2067
"PRKACA","STK38",2292,2928
"PRKACA","KSR1",2292,1511
"PRKACA","ZFP36L1",2292,3353
"PRKACA","DOCK1",2292,769
"PRKACA","SUN2",2292,2954
"PRKACA","PPP1R14C",2292,2252
"PRKACA","BCAM",2292,255
"PRKACA","CARM1",2292,368
"PRKACA","H1-4",2292,1184
"PRKACA","NLRP3",2292,1906
"PRKACA","APP",2292,136
"PRKACA","TPPP",2292,3109
"PRKACA","VDR",2292,3267
"PRKACA","ALOX5",2292,96
"PRKACA","CYP17A1",2292,664
"PRKACA","GFPT1",2292,1088
"PRKACA","RASGRP2",2292,2455
"PRKACA","CSNK1A1",2292,629
"PRKACA","SRSF2",2292,2878
"PRKACA","ARHGAP17",2292,152
"PRKACA","CYP3A4",2292,667
"PRKACA","STAR",2292,2896
"PRKACA","PFKFB3",2292,2107
"PRKACA","MLXIPL",2292,1738
"PRKACA","PKD1",2292,2167
"PRKACA","PDZK1",2292,2093
"PRKACA","TRPV1",2292,3152
"PRKACA","RPS19",2292,2582
"PRKACA","AKAP9",2292,86
"PRKACA","INVS",2292,1361
"PRKACA","GRIN2B",2292,1152
"PRKACA","TPI1",2292,3106
"PRKACA","KCNA4",2292,1423
"PRKACA","ESPL1",2292,925
"PRKACA","AVPR2",2292,232
"PRKACA","DDB1",2292,705
"PRKACA","PDE5A",2292,2074
"PRKACA","SEC14L2",2292,2659
"PRKACA","FHIP2B",2292,996
"PRKACA","HSPA1A",2292,1299
"PRKACA","LRP6",2292,1568
"PRKACA","UBE3A",2292,3207
"PRKACA","HSP90AB1",2292,1297
"PRKACA","PTPN11",2292,2365
"PRKACA","MARK2",2292,1664
"PRKACA","CTBP2",2292,642
"PRKACA","ULK2",2292,3225
"PRKACA","KCND2",2292,1429
"PRKACA","BNIP3",2292,293
"PRKACA","CTBP1",2292,641
"PRKACA","SLC8B1",2292,2767
"PRKACA","USP20",2292,3241
"PRKACA","TNFRSF1A",2292,3078
"PRKACA","PDE4A",2292,2070
"PRKACA","BIRC5",2292,280
"PRKACA","STIM1",2292,2908
"PRKACA","UFD1",2292,3215
"PRKACA","CREB1",2292,608
"PRKACA","POU5F1",2292,2228
"PRKACA","SEPTIN7",2292,2673
"PRKACA","TRPM8",2292,3151
"PRKACA","MFN2",2292,1721
"PRKACA","PAH",2292,2019
"PRKACA","HSPB8",2292,1304
"PRKACA","PDE8A",2292,2076
"PRKACA","PARK7",2292,2036
"PRKACA","GAD1",2292,1066
"PRKACA","RPTOR",2292,2598
"PRKACA","TTN",2292,3175
"PRKACA","PSMD2",2292,2346
"PRKACA","KLHL3",2292,1497
"PRKACA","DLX3",2292,752
"PRKACA","TRPV4",2292,3154
"PRKACA","NSFL1C",2292,1964
"PRKACA","KCNA1",2292,1421
"PRKACA","RCAN1",2292,2485
"PRKACA","ANXA1",2292,118
"PRKACA","PPM1B",2292,2239
"PRKACA","ATXN1",2292,223
"PRKACA","PSMD11",2292,2345
"PRKACA","HLA-A",2292,1261
"PRKACA","KRAS",2292,1506
"PRKACA","ARFGEF1",2292,148
"PRKACA","CDC37",2292,455
"PRKACA","CEBPB",2292,513
"PRKACA","TPR",2292,3110
"PRKACA","IQGAP2",2292,1364
"PRKACA","PKD2",2292,2168
"PRKACA","MSN",2292,1756
"PRKACA","TP53",2292,3097
"PRKACA","EMSY",2292,880
"PRKACA","LAMTOR4",2292,1517
"PRKACA","SORBS2",2292,2827
"PRKACA","SGK1",2292,2688
"PRKACA","PTK2B",2292,2359
"PRKACA","PIK3R1",2292,2144
"PRKACA","MORC2",2292,1746
"PRKACA","PREX1",2292,2285
"PRKACA","ADRB1",2292,56
"PRKACA","FCER1G",2292,974
"PRKACA","TRIP10",2292,3136
"PRKACA","ATR",2292,221
"PRKACA","CDK9",2292,498
"PRKACA","TAGLN2",2292,2985
"PRKACA","PRKAB1",2292,2291
"PRKACA","SIK2",2292,2720
"PRKACA","TGM2",2292,3044
"PRKACA","NDUFS4",2292,1844
"PRKACA","RASD2",2292,2451
"PRKACA","MYLK",2292,1791
"PRKACA","ARHGEF6",2292,171
"PRKACA","PLEC",2292,2188
"PRKACA","SNAI1",2292,2799
"PRKACA","AQP5",2292,142
"PRKACA","PPP1R1C",2292,2258
"PRKACA","SLK",2292,2775
"PRKACA","RASSF1",2292,2457
"PRKACA","ACADVL",2292,18
"PRKACA","NKD2",2292,1899
"PRKACA","SLC26A4",2292,2753
"PRKACA","KCNJ2",2292,1439
"PRKACA","IMMT",2292,1349
"PRKACA","AQP4",2292,141
"PRKACA","GPR15",2292,1133
"PRKACA","KCNQ1",2292,1450
"MAPK3","WTAP",1645,3304
"MAPK3","HNF4A",1645,1274
"MAPK3","FGFR2",1645,991
"MAPK3","BLVRA",1645,284
"MAPK3","REST",1645,2501
"MAPK3","TSC2",1645,3158
"MAPK3","WASF2",1645,3283
"MAPK3","MITF",1645,1729
"MAPK3","MTMR2",1645,1764
"MAPK3","CRTC3",1645,620
"MAPK3","ISX",1645,1382
"MAPK3","DUSP5",1645,801
"MAPK3","RHOA",1645,2525
"MAPK3","CTNND1",1645,649
"MAPK3","CREBBP",1645,610
"MAPK3","ARRB2",1645,182
"MAPK3","RUNX1",1645,2617
"MAPK3","NR3C2",1645,1945
"MAPK3","NUP214",1645,1980
"MAPK3","ITGB4",1645,1391
"MAPK3","CREM",1645,611
"MAPK3","GLE1",1645,1102
"MAPK3","FHOD1",1645,1000
"MAPK3","SLC6A4",1645,2764
"MAPK3","TPD52",1645,3103
"MAPK3","DEPTOR",1645,727
"MAPK3","MCTS1",1645,1694
"MAPK3","BANP",1645,247
"MAPK3","TAL2",1645,2987
"MAPK3","MAP3K11",1645,1616
"MAPK3","MED14",1645,1703
"MAPK3","PALLD",1645,2027
"MAPK3","ASB2",1645,186
"MAPK3","FOSL2",1645,1022
"MAPK3","LRP6",1645,1568
"MAPK3","BAG3",1645,241
"MAPK3","RRAS2",1645,2602
"MAPK3","MARS1",1645,1667
"MAPK3","SHARPIN",1645,2707
"MAPK3","DHPS",1645,735
"MAPK3","AR",1645,144
"MAPK3","TTK",1645,3173
"MAPK3","PIP5K1C",1645,2161
"MAPK3","TRAP1",1645,3119
"MAPK3","OSBP2",1645,2003
"MAPK3","SYMPK",1645,2964
"MAPK3","GRHL1",1645,1144
"MAPK3","E2F4",1645,818
"MAPK3","TRPV3",1645,3153
"MAPK3","CDKN1A",1645,504
"MAPK3","MAPK7",1645,1648
"MAPK3","YTHDF2",1645,3330
"MAPK3","NCOA2",1645,1829
"MAPK3","DUSP4",1645,800
"MAPK3","NR3C1",1645,1944
"MAPK3","MYCN",1645,1781
"MAPK3","ERBB2",1645,913
"MAPK3","ERBB4",1645,915
"MAPK3","PKM",1645,2172
"MAPK3","EPAS1",1645,888
"MAPK3","BAD",1645,239
"MAPK3","EIF4G1",1645,860
"MAPK3","CDCA5",1645,468
"MAPK3","XBP1",1645,3308
"MAPK3","SEC16A",1645,2660
"MAPK3","FBXW7",1645,972
"MAPK3","HSF4",1645,1295
"MAPK3","PTPRCAP",1645,2376
"MAPK3","NCKIPSD",1645,1826
"MAPK3","DNM1L",1645,763
"MAPK3","RAC1",1645,2412
"MAPK3","MARCKS",1645,1661
"MAPK3","CDK2",1645,487
"MAPK3","PTPN12",1645,2366
"MAPK3","SHOC2",1645,2712
"MAPK3","GLRA1",1645,1108
"MAPK3","MYC",1645,1778
"MAPK3","MAFG",1645,1593
"MAPK3","IL2RB",1645,1344
"MAPK3","TAB1",1645,2975
"MAPK3","CANX",1645,359
"MAPK3","GATA6",1645,1078
"MAPK3","RSPH3",1645,2611
"MAPK3","RRAS",1645,2601
"MAPK3","SH2B1",1645,2694
"MAPK3","DAPK1",1645,680
"MAPK3","LIN28A",1645,1548
"MAPK3","SORBS3",1645,2828
"MAPK3","EXOC7",1645,938
"RIPK3","DAXX",2539,684
"RIPK3","MLKL",2539,1735
"RIPK3","DLD",2539,744
"RIPK3","TRIM28",2539,3125
"MAP4K1","CARD11",1631,365
"MAP4K1","PSMD2",1631,2346
"EPHB2","TAGAP",902,2983
"EPHB2","L1CAM",902,1513
"EPHB2","SRC",902,2863
"BMP2K","AP2M1",288,124
"CDK11A","SPDEF",477,2842
"CSNK1D","EPAS1",631,888
"CSNK1D","TARDBP",631,2994
"CSNK1D","LZTS2",631,1584
"CSNK1D","SMARCA4",631,2787
"CSNK1D","APC",631,129
"CSNK1D","LRP6",631,1568
"CSNK1D","DCK",631,694
"CSNK1D","NEDD9",631,1852
"CSNK1D","PRKD2",631,2309
"CSNK1D","TOP2B",631,3093
"CSNK1D","WEE1",631,3293
"CSNK1D","PPP5C",631,2276
"CSNK1D","CDH1",631,472
"CSNK1D","MTSS1",631,1766
"PLK4","NEDD1",2199,1848
"PLK4","CEP131",2199,524
"PLK4","STIL",2199,2907
"PLK4","PCM1",2199,2056
"PLK4","ACTR2",2199,35
"PLK4","FBXW5",2199,971
"PLK4","NEK7",2199,1864
"PLK4","PPP1R16B",2199,2254
"PLK4","CCP110",2199,418
"CIT","GLI2",568,1104
"CIT","MYL9",568,1790
"AURKC","NFKBIA",230,1886
"AURKC","INCENP",230,1352
"AURKC","BIRC5",230,280
"FRK","BRCA1",1038,298
"SLK","RDX",2775,2489
"SLK","EZR",2775,943
"SLK","SLK",2775,2775
"SLK","MSN",2775,1756
"CDK16","PRKAR1A",483,2296
"CDK16","PRC1",483,2279
"CDK16","CDKN1B",483,505
"CDK16","CCNY",483,417
"ERBB2","BBC3",913,254
"ERBB2","PLXNB1",913,2207
"OXSR1","SLC12A1",2009,2742
"OXSR1","SLC12A5",2009,2746
"OXSR1","SMAD3",2009,2782
"OXSR1","SLC12A7",2009,2748
"OXSR1","SLC12A6",2009,2747
"OXSR1","SMAD2",2009,2781
"SRC","PTEN",2863,2351
"SRC","TIMP2",2863,3059
"SRC","THRAP3",2863,3050
"SRC","EYA3",2863,941
"SRC","HDAC3",2863,1232
"SRC","KIF11",2863,1468
"SRC","GBF1",2863,1080
"SRC","TRPV1",2863,3152
"SRC","BCKDK",2863,258
"SRC","WNK4",2863,3300
"SRC","GIT1",2863,1095
"SRC","AKAP8",2863,85
"SRC","ACLY",2863,26
"SRC","SFPQ",2863,2687
"SRC","DVL2",2863,805
"SRC","EPS8",2863,911
"SRC","ZC3H4",2863,3347
"SRC","PAG1",2863,2017
"SRC","NR1H4",2863,1939
"SRC","SF3B2",2863,2685
"SRC","BCLAF1",2863,268
"SRC","FHOD1",2863,1000
"SRC","GRIK2",2863,1149
"SRC","L1CAM",2863,1513
"SRC","NEDD4",2863,1849
"SRC","PARP1",2863,2038
"SRC","CDC25A",2863,449
"SRC","USP2",2863,3240
"SRC","CD46",2863,438
"SRC","ITGB7",2863,1393
"SRC","MYH9",2863,1786
"SRC","PRKD2",2863,2309
"SRC","PELP1",2863,2100
"SRC","SRRT",2863,2875
"SRC","AGO2",2863,66
"SRC","RMDN3",2863,2543
"SRC","ENG",2863,882
"SRC","CDH1",2863,472
"SRC","FCRL3",2863,978
"SRC","THOC5",2863,3048
"SRC","NRAS",2863,1951
"SRC","NCKIPSD",2863,1826
"SRC","SDCBP",2863,2657
"SRC","WBP2",2863,3287
"SRC","TRIP10",2863,3136
"SRC","YAP1",2863,3323
"SRC","HSP90AA1",2863,1296
"SRC","LPIN1",2863,1563
"SRC","SLC6A4",2863,2764
"SRC","FXN",2863,1046
"SRC","G6PD",2863,1056
"SRC","PFN1",2863,2111
"SRC","FUBP1",2863,1042
"SRC","CASP9",2863,377
"SRC","RBM10",2863,2467
"SRC","CD93",2863,444
"SRC","DOK1",2863,774
"SRC","PRKAA2",2863,2290
"SRC","PTPRJ",2863,2378
"SRC","TP73",2863,3102
"SRC","GSK3B",2863,1164
"SRC","LMNA",2863,1555
"SRC","ZAP70",2863,3339
"SRC","HK2",2863,1260
"SRC","CACNA1C",2863,333
"SRC","ETS1",2863,929
"SRC","FLOT1",2863,1010
"SRC","MDM2",2863,1697
"SRC","SHC3",2863,2709
"SRC","ELMO1",2863,872
"SRC","HIPK2",2863,1253
"SRC","PKP3",2863,2179
"SRC","SDHA",2863,2658
"SRC","SNCA",2863,2805
"SRC","CORO7",2863,607
"SRC","FHL1",2863,998
"SRC","LPP",2863,1564
"SRC","SDC2",2863,2654
"SRC","IQGAP1",2863,1363
"SRC","DAAM1",2863,671
"SRC","KLF16",2863,1492
"SRC","CBL",2863,386
"SRC","OCLN",2863,1986
"SRC","ARHGEF2",2863,169
"SRC","GRIN1",2863,1150
"SRC","CNKSR1",2863,589
"SRC","TP53",2863,3097
"SRC","CDK4",2863,491
"SRC","KDR",2863,1462
"SRC","ATXN2L",2863,225
"SRC","ARHGAP5",2863,162
"SRC","CCDC88A",2863,403
"SRC","PDHA1",2863,2079
"SRC","SOCS1",2863,2821
"SRC","RHOA",2863,2525
"SRC","MAPT",2863,1660
"SRC","GLO1",2863,1107
"SRC","HCRTR1",2863,1229
"SRC","SLC25A4",2863,2751
"SRC","GAPDH",2863,1070
"SRC","CCR7",2863,421
"SRC","KHSRP",2863,1466
"SRC","STING1",2863,2909
"SRC","KNSTRN",2863,1503
"SRC","SH3GLB1",2863,2704
"SRC","TRIP6",2863,3139
"SRC","PANX1",2863,2031
"SRC","NFE2L2",2863,1883
"SRC","MAPRE1",2863,1657
"SRC","KRAS",2863,1506
"SRC","TFG",2863,3036
"SRC","ERBB2",2863,913
"SRC","PRC1",2863,2279
"SRC","FOS",2863,1019
"SRC","PLD2",2863,2187
"SRC","SLC11A1",2863,2741
"SRC","SDC4",2863,2656
"SRC","NDFIP2",2863,1838
"SRC","GUCY1B1",2863,1176
"SRC","NELFCD",2863,1868
"SRC","CNN3",2863,592
"SRC","EWSR1",2863,936
"SRC","DNM2",2863,764
"SRC","PLEKHG2",2863,2191
"SRC","DMAP1",2863,754
"SRC","TRIM25",2863,3124
"SRC","SYNJ2",2863,2970
"SRC","RAC1",2863,2412
"SRC","VAMP7",2863,3257
"SRC","MEGF10",2863,1710
"SRC","CCDC88C",2863,404
"SRC","NDUFV2",2863,1846
"SRC","SDC1",2863,2653
"SRC","RET",2863,2502
"SRC","ATP1A1",2863,212
"SRC","PTTG1IP",2863,2384
"SRC","ARHGEF7",2863,172
"SRC","AR",2863,144
"SRC","AGTR1",2863,67
"SRC","TFRC",2863,3039
"SRC","CDK1",2863,475
"SRC","CNN2",2863,591
"SRC","FER",2863,980
"SRC","FUS",2863,1045
"SRC","THRB",2863,3051
"SRC","RHBG",2863,2522
"SRC","LASP1",2863,1523
"SRC","G3BP1",2863,1055
"SRC","RAB34",2863,2404
"SRC","FIP1L1",2863,1001
"SRC","NPHP1",2863,1929
"SRC","PKD1",2863,2167
"SRC","PRMT5",2863,2319
"SRC","KCND3",2863,1430
"SRC","IKBKG",2863,1335
"CDK3","ESR1",490,926
"CDK3","MECOM",490,1700
"CDK3","NFATC4",490,1880
"CDK3","NOTCH1",490,1920
"WNK2","STK39",3298,2930
"NTRK2","SHC3",1967,2709
"RPS6KA4","H3C1",2591,1213
"RPS6KA4","ATXN1",2591,223
"VRK1","COIL",3276,597
"VRK1","H2AC11",3276,1187
"VRK1","NR1I2",3276,1940
"PRKCI","AMOT",2305,103
"PRKCI","MAPT",2305,1660
"PRKCI","SP1",2305,2835
"PRKCI","NUMB",2305,1975
"PRKCI","MARK3",2305,1665
"PRKCI","PPP1R14C",2305,2252
"PRKCI","FBXW7",2305,972
"PRKCI","DOC2B",2305,768
"PRKCI","UBTF",2305,3211
"PRKCI","ELF3",2305,866
"PRKCI","PARD6A",2305,2035
"PRKCI","VIM",2305,3272
"PRKCI","KLF10",2305,1491
"PRKCI","EZH2",2305,942
"PRKCI","CTTN",2305,654
"PRKCI","RPS6KB2",2305,2595
"PRKCI","YKT6",2305,3328
"PRKCI","EP300",2305,886
"PRKCI","NFE2L2",2305,1883
"ZAP70","AGO2",3339,66
