,GeneName,Group
588,CNKSR1,Non-kinase
589,CNN1,Non-kinase
590,CNN2,Non-kinase
591,CNN3,Non-kinase
592,CNOT2,Non-kinase
593,CNP,Non-kinase
594,CNTROB,Non-kinase
595,COBLL1,Non-kinase
596,COIL,Non-kinase
597,COL17A1,Non-kinase
598,COL4A3,Non-kinase
599,COP1,Non-kinase
600,COPS5,Non-kinase
601,COPS6,Non-kinase
602,CORO1A,Non-kinase
603,CORO1B,Non-kinase
604,CORO1C,Non-kinase
605,CORO7,Non-kinase
606,CREB1,Non-kinase
607,CREB3,Non-kinase
608,CREBBP,Non-kinase
609,CREM,Non-kinase
610,CRHR1,Non-kinase
611,CRIP2,Non-kinase
612,CRK,Non-kinase
613,CRKL,Non-kinase
614,CRMP1,Non-kinase
615,CROCC,Non-kinase
616,CRTC1,Non-kinase
617,CRTC2,Non-kinase
618,CRTC3,Non-kinase
619,CRY1,Non-kinase
620,CRY2,Non-kinase
621,CRYAB,Non-kinase
622,CRYBG1,Non-kinase
623,CSF1R,TK
624,CSF2RB,Non-kinase
625,CSF3R,Non-kinase
626,CSK,TK
627,CSNK1A1,CK1
628,CSNK1A1L,CK1
629,CSNK1D,CK1
630,CSNK1E,CK1
631,CSNK1G1,CK1
632,CSNK1G2,CK1
633,CSNK1G3,CK1
634,CSNK2A1,CMGC
635,CSNK2A2,CMGC
636,CSNK2A3,CMGC
637,CSNK2B,Non-kinase
638,CSPG4,Non-kinase
639,CTBP1,Non-kinase
640,CTBP2,Non-kinase
641,CTDP1,Non-kinase
642,CTDSPL2,Non-kinase
643,CTH,Non-kinase
644,CTLA4,Non-kinase
645,CTNNA1,Non-kinase
646,CTNNB1,Non-kinase
647,CTNND1,Non-kinase
648,CTNND2,Non-kinase
649,CTPS1,Non-kinase
650,CTPS2,Non-kinase
651,CTR9,Non-kinase
652,CTTN,Non-kinase
653,CTTNBP2NL,Non-kinase
654,CUEDC2,Non-kinase
655,CUL5,Non-kinase
656,CUX1,Non-kinase
657,CWC25,Non-kinase
658,CXCR4,Non-kinase
659,CYBA,Non-kinase
660,CYCS,Non-kinase
661,CYLD,Non-kinase
662,CYP17A1,Non-kinase
663,CYP19A1,Non-kinase
664,CYP2B6,Non-kinase
665,CYP3A4,Non-kinase
666,CYSLTR1,Non-kinase
667,CYTH1,Non-kinase
668,CYTH2,Non-kinase
669,DAAM1,Non-kinase
670,DAB1,Non-kinase
671,DAB2,Non-kinase
672,DAB2IP,Non-kinase
673,DACT1,Non-kinase
674,DAG1,Non-kinase
675,DAGLA,Non-kinase
676,DAP,Non-kinase
677,DAP3,Non-kinase
678,DAPK1,CAMK
679,DAPK2,CAMK
680,DAPK3,CAMK
681,DAPP1,Non-kinase
682,DAXX,Non-kinase
683,DAZAP1,Non-kinase
684,DAZL,Non-kinase
685,DBF4,Non-kinase
686,DBI,Non-kinase
687,DBN1,Non-kinase
688,DBNL,Non-kinase
689,DCBLD1,Non-kinase
690,DCBLD2,Non-kinase
691,DCC,Non-kinase
692,DCK,Non-kinase
693,DCLK1,CAMK
694,DCLK2,CAMK
695,DCLK3,CAMK
696,DCLRE1C,Non-kinase
697,DCP1A,Non-kinase
698,DCTN1,Non-kinase
699,DCTN6,Non-kinase
700,DCX,Non-kinase
701,DDA1,Non-kinase
702,DDAH2,Non-kinase
703,DDB1,Non-kinase
704,DDHD1,Non-kinase
705,DDIT3,Non-kinase
706,DDR1,TK
707,DDR2,TK
708,DDX1,Non-kinase
709,DDX19A,Non-kinase
710,DDX19B,Non-kinase
711,DDX24,Non-kinase
712,DDX25,Non-kinase
713,DDX3X,Non-kinase
714,DDX3Y,Non-kinase
715,DDX41,Non-kinase
716,DDX5,Non-kinase
717,DDX52,Non-kinase
718,DEF6,Non-kinase
719,DEK,Non-kinase
720,DENND3,Non-kinase
721,DENND4C,Non-kinase
722,DENR,Non-kinase
723,DEPDC1,Non-kinase
724,DEPDC5,Non-kinase
725,DEPTOR,Non-kinase
726,DES,Non-kinase
727,DGCR8,Non-kinase
728,DGKA,Non-kinase
729,DGKD,Non-kinase
730,DGKG,Non-kinase
731,DGKZ,Non-kinase
732,DHFR,Non-kinase
733,DHPS,Non-kinase
734,DHX38,Non-kinase
735,DIABLO,Non-kinase
736,DIAPH1,Non-kinase
737,DIAPH2,Non-kinase
738,DIAPH3,Non-kinase
739,DISC1,Non-kinase
740,DIXDC1,Non-kinase
741,DLC1,Non-kinase
742,DLD,Non-kinase
743,DLG1,Non-kinase
744,DLG2,Non-kinase
745,DLG3,Non-kinase
746,DLG4,Non-kinase
747,DLG5,Non-kinase
748,DLGAP1,Non-kinase
749,DLGAP5,Non-kinase
750,DLX3,Non-kinase
751,DLX5,Non-kinase
752,DMAP1,Non-kinase
753,DMPK,AGC
754,DMTN,Non-kinase
755,DNAJB1,Non-kinase
756,DNAJB2,Non-kinase
757,DNAJC30,Non-kinase
758,DNAJC5,Non-kinase
759,DNAJC6,Non-kinase
760,DNM1,Non-kinase
761,DNM1L,Non-kinase
762,DNM2,Non-kinase
763,DNMT1,Non-kinase
764,DNMT3A,Non-kinase
765,DNPEP,Non-kinase
766,DOC2B,Non-kinase
767,DOCK1,Non-kinase
768,DOCK2,Non-kinase
769,DOCK6,Non-kinase
770,DOCK7,Non-kinase
771,DOCK8,Non-kinase
772,DOK1,Non-kinase
773,DOK2,Non-kinase
774,DPF2,Non-kinase
775,DPF3,Non-kinase
776,DPYSL2,Non-kinase
777,DPYSL3,Non-kinase
778,DPYSL5,Non-kinase
779,DRD2,Non-kinase
780,DRD3,Non-kinase
781,DRG1,Non-kinase
782,DRG2,Non-kinase
783,DROSHA,Non-kinase
784,DSN1,Non-kinase
785,DSP,Non-kinase
786,DSTN,Non-kinase
787,DSTYK,Other
788,DTD1,Non-kinase
789,DTL,Non-kinase
790,DTNB,Non-kinase
791,DTNBP1,Non-kinase
792,DTYMK,Non-kinase
793,DUOX1,Non-kinase
794,DUSP1,Non-kinase
795,DUSP10,Non-kinase
796,DUSP16,Non-kinase
797,DUSP3,Non-kinase
798,DUSP4,Non-kinase
799,DUSP5,Non-kinase
800,DUSP6,Non-kinase
801,DUT,Non-kinase
802,DVL1,Non-kinase
803,DVL2,Non-kinase
804,DVL3,Non-kinase
805,DYNC1I2,Non-kinase
806,DYNC1LI1,Non-kinase
807,DYNLL1,Non-kinase
808,DYNLRB1,Non-kinase
809,DYRK1A,CMGC
810,DYRK1B,CMGC
811,DYRK2,CMGC
812,DYRK3,CMGC
813,DYRK4,CMGC
814,E2F1,Non-kinase
815,E2F3,Non-kinase
816,E2F4,Non-kinase
817,E2F6,Non-kinase
818,E4F1,Non-kinase
819,EBNA1BP2,Non-kinase
820,ECD,Non-kinase
821,ECE1,Non-kinase
822,ECT2,Non-kinase
823,EDC3,Non-kinase
824,EDC4,Non-kinase
825,EDF1,Non-kinase
826,EDNRA,Non-kinase
827,EEA1,Non-kinase
828,EEF1A1,Non-kinase
829,EEF1A2,Non-kinase
830,EEF1B2,Non-kinase
831,EEF1D,Non-kinase
832,EEF2,Non-kinase
833,EEF2K,Atypical
834,EFHD2,Non-kinase
835,EFNB2,Non-kinase
836,EGFR,TK
837,EGLN1,Non-kinase
838,EGLN2,Non-kinase
839,EGR1,Non-kinase
840,EHMT2,Non-kinase
841,EIF2A,Non-kinase
842,EIF2AK1,Other
843,EIF2AK2,Other
844,EIF2AK3,Other
845,EIF2AK4,Other
846,EIF2B5,Non-kinase
847,EIF2S1,Non-kinase
848,EIF2S2,Non-kinase
849,EIF2S3,Non-kinase
850,EIF3A,Non-kinase
851,EIF3F,Non-kinase
852,EIF3J,Non-kinase
853,EIF4A3,Non-kinase
854,EIF4B,Non-kinase
855,EIF4E,Non-kinase
856,EIF4EBP1,Non-kinase
857,EIF4ENIF1,Non-kinase
858,EIF4G1,Non-kinase
859,EIF4G2,Non-kinase
860,EIF4G3,Non-kinase
861,EIF5,Non-kinase
862,EIF6,Non-kinase
863,ELAVL1,Non-kinase
864,ELF3,Non-kinase
865,ELF4,Non-kinase
866,ELK1,Non-kinase
867,ELK3,Non-kinase
868,ELK4,Non-kinase
869,ELL,Non-kinase
870,ELMO1,Non-kinase
871,ELMO2,Non-kinase
872,ELOA,Non-kinase
873,ELP1,Non-kinase
874,ELP3,Non-kinase
875,EMD,Non-kinase
876,EML3,Non-kinase
877,EML4,Non-kinase
878,EMSY,Non-kinase
879,ENDOG,Non-kinase
880,ENG,Non-kinase
881,ENO1,Non-kinase
882,ENOX2,Non-kinase
883,ENSA,Non-kinase
884,EP300,Non-kinase
885,EP400,Non-kinase
886,EPAS1,Non-kinase
887,EPB41,Non-kinase
888,EPB41L3,Non-kinase
889,EPB42,Non-kinase
890,EPHA1,TK
891,EPHA10,TK
892,EPHA2,TK
893,EPHA3,TK
894,EPHA4,TK
895,EPHA5,TK
896,EPHA6,TK
897,EPHA7,TK
898,EPHA8,TK
899,EPHB1,TK
900,EPHB2,TK
901,EPHB3,TK
902,EPHB4,TK
903,EPHB6,TK
904,EPM2A,Non-kinase
905,EPN1,Non-kinase
906,EPOR,Non-kinase
907,EPRS1,Non-kinase
908,EPS15,Non-kinase
909,EPS8,Non-kinase
910,ERAL1,Non-kinase
911,ERBB2,TK
912,ERBB3,TK
913,ERBB4,TK
914,ERCC3,Non-kinase
915,ERCC6,Non-kinase
916,ERCC6L,Non-kinase
917,ERF,Non-kinase
918,ERG,Non-kinase
919,ERH,Non-kinase
920,ERN1,Other
921,ERN2,Other
922,ERRFI1,Non-kinase
923,ESPL1,Non-kinase
924,ESR1,Non-kinase
925,ESR2,Non-kinase
926,ETAA1,Non-kinase
927,ETS1,Non-kinase
928,ETS2,Non-kinase
929,ETV1,Non-kinase
930,ETV3,Non-kinase
931,ETV4,Non-kinase
932,ETV5,Non-kinase
933,ETV6,Non-kinase
934,EWSR1,Non-kinase
935,EXO1,Non-kinase
936,EXOC7,Non-kinase
937,EXOSC9,Non-kinase
938,EYA1,Non-kinase
939,EYA3,Non-kinase
940,EZH2,Non-kinase
941,EZR,Non-kinase
942,F11R,Non-kinase
