"Kinase","Substrate","Group"
"GSK3B","DCX","CMGC"
"PTK2","ACTN4","TK"
"ROCK1","PPP1R12B","AGC"
"CDK5","PRKN","CMGC"
"PINK1","PRKN","OTHER"
"STK11","NUAK1","CAMK"
"SRC","PIP5K1C","TK"
"GSK3B","PHLPP1","CMGC"
"PRKCA","NPHS1","AGC"
"MAPK3","JAK2","CMGC"
"CSNK1E","CTNND1","CK1"
"PRKACA","CTNND1","AGC"
"RPS6KB1","PFKFB2","AGC"
"RPS6KA3","PFKFB2","AGC"
"HIPK1","PAGE4","CMGC"
"AURKB","DIAPH2","OTHER"
"PRKCA","KCNJ13","AGC"
"PRKACA","KCNJ13","AGC"
"CSNK2A2","NOL3","CMGC"
"GSK3A","MITF","CMGC"
"AKT1","NCOR1","AGC"
"PRKAA2","ULK1","CAMK"
"MTOR","ULK1","ATYPICAL"
"CDC7","PSIP1","OTHER"
"VRK1","BANF1","CK1"
"CSNK1E","LRP6","CK1"
"CDK14","LRP6","CMGC"
"CSNK1A1","LRP6","CK1"
"MAPK11","RPS6KA5","CMGC"
"CSNK2A1","EIF3J","CMGC"
"CSNK2A1","PIAS1","CMGC"
"PRKAA1","PIAS1","CAMK"
"MAPK14","PIAS2","CMGC"
"PRKCD","BEST1","AGC"
"ATM","UFL1","ATYPICAL"
"CDK1","SUN1","CMGC"
"CDK1","NFAT5","CMGC"
"CDK5","NFAT5","CMGC"
"MAPK9","MFN2","CMGC"
"CDK1","KIF4A","CMGC"
"PLK1","KAT7","OTHER"
"CDK1","KAT7","CMGC"
"ABL1","AHSA1","TK"
"EGFR","ABCA1","TK"
"PRKACA","NFATC1","AGC"
"CSNK2A1","RIGI","CMGC"
"PRKCD","BAG3","AGC"
"NUAK2","LATS1","CAMK"
"STK4","LATS1","STE"
"CSNK2A1","SNAI1","CMGC"
"PKN1","SNAI1","AGC"
"PRKAA1","SNAI1","CAMK"
"AURKA","MBD3","OTHER"
"MAPK3","PTTG1","CMGC"
"MAPK1","PTTG1","CMGC"
"PRKDC","CHEK2","ATYPICAL"
"FGFR1","LDHA","TK"
"PRKCA","EGFR","AGC"
"RPS6KA4","FOS","AGC"
"MAPK9","MYC","CMGC"
"BRD4","MYC","ATYPICAL"
"GSK3A","MYC","CMGC"
"STK19","NRAS","ATYPICAL"
"SRC","HRAS","TK"
"UHMK1","MBP","OTHER"
"CSNK1D","PRH1","CK1"
"CDK2","ESR1","CMGC"
"PRKACA","ESR1","AGC"
"CSNK2A1","ESR1","CMGC"
"ABL1","CAT","TK"
"PKN1","RAF1","AGC"
"PRKCG","RAF1","AGC"
"PRKCB","RAF1","AGC"
