Kinase,Substrate,HighConfidenceSites,LowConfidenceSites,Source
O14920,P25963,2,0,"iPTMNet:hprd, EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O14920,P35568,10,0,"iPTMNet:hprd, EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O14920,P42224,1,0,PhosphoSitePlus
O14920,P42771,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14920,P42858,3,0,PhosphoSitePlus
O14920,Q01201,1,0,PhosphoSitePlus
O14920,Q04206,7,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O14920,Q04864,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14920,Q13568,1,0,PhosphoSitePlus
O14920,Q14164,1,0,EPSD:RegPhos
O14920,Q14653,5,1,"PhosphoSitePlus, EPSD:PostMod, EPSD:PSEA"
O14920,Q15653,2,0,EPSD:RegPhos
O14920,Q16875,1,0,PhosphoSitePlus
O14920,Q6P2E9,4,0,PhosphoSitePlus
O14920,Q7Z434,1,0,PhosphoSitePlus
O14920,Q8N3F0,1,0,PhosphoSitePlus
O14920,Q92574,2,0,PhosphoSitePlus
O14920,Q92905,2,0,PhosphoSitePlus
O14920,Q96BF3,1,0,PhosphoSitePlus
O14920,Q96CV9,1,0,PhosphoSitePlus
O14920,Q99704,4,0,"PhosphoSitePlus, EPSD:PSEA"
O14920,Q9BXH1,3,0,"PhosphoSitePlus, EPSD:PSEA"
O14920,Q9H3D4,2,0,PhosphoSitePlus
O14920,Q9H765,1,0,PhosphoSitePlus
O14920,Q9NQC7,8,0,"PhosphoSitePlus, EPSD:PSEA"
O14920,Q9Y4G8,1,0,PhosphoSitePlus
O14920,Q9Y4H2,0,5,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O14920,Q9Y6K9,5,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O14920,Q9Y6Q9,1,0,EPSD:RegPhos
O14936,O14936,2,0,"PhosphoSitePlus, EPSD:PSEA, EPSD:RegPhos"
O14965,O00560,2,0,PhosphoSitePlus
O14965,O14777,3,0,PhosphoSitePlus
O14965,O14965,15,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O14965,O15143,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,O15350,1,0,PhosphoSitePlus
O14965,O15360,1,0,PhosphoSitePlus
O14965,O43379,4,0,PhosphoSitePlus
O14965,O43521,3,0,PhosphoSitePlus
O14965,O75496,1,0,PhosphoSitePlus
O14965,O95239,1,0,PhosphoSitePlus
O14965,O95983,2,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PostMod, EPSD:PSEA, EPSD:RegPhos"
O14965,O96028,1,0,PhosphoSitePlus
O14965,P00352,3,0,PhosphoSitePlus
O14965,P03372,2,0,PhosphoSitePlus
